Checkpoint;AdcCode;ExpectedMass;ActualMass;ErrorTonnes;SelectedCalibrationPointId;Status
Перед_точкой_0;9999;-0.00200;-10.00300;-10.00100;3;FAIL
Точка_0;10000;0.00000;-10.00000;-10.00000;3;FAIL
После_точки_0;10001;0.00200;-9.99700;-9.99900;3;FAIL
25%: 0–20;12500;5.00000;-2.50000;-7.50000;3;FAIL
50%: 0–20;15000;10.00000;5.00000;-5.00000;3;FAIL
75%: 0–20;17500;15.00000;12.50000;-2.50000;3;FAIL
Перед_точкой_20;19999;19.99800;19.99700;-0.00100;3;FAIL
Точка_20;20000;20.00000;20.00000;0.00000;3;PASS
После_точки_20;20001;20.00300;20.00300;0.00000;3;PASS
25%: 20–80;25000;35.00000;35.00000;0.00000;3;PASS
50%: 20–80;30000;50.00000;50.00000;0.00000;3;PASS
75%: 20–80;35000;65.00000;65.00000;0.00000;3;PASS
Перед_точкой_80;39999;79.99700;79.99700;0.00000;3;PASS
Точка_80;40000;80.00000;80.00000;0.00000;3;PASS
После_точки_80;40001;80.00300;80.00300;0.00000;3;PASS
