SAMPLE=CH0_LO  CH0_HI  CH1_LO  CH1_HI  AUX
IDX  TIME_MS  B0   B1   B2   B3   CH0    CH1    AUX
000  000003  030  005  014  011  014  01310  02830  014
001  000011  044  089  009  032  014  22828  08201  014
002  000012  011  014  011  014  050  03595  03595  050
003  000012  005  014  009  014  042  03589  03593  042
004  000029  022  014  003  014  053  03606  03587  053
005  000048  032  014  006  014  066  03616  03590  066
006  000069  030  014  028  014  086  03614  03612  086
007  000091  040  014  033  014  101  03624  03617  101
008  000112  037  014  038  014  103  03621  03622  103
009  000133  025  014  039  014  092  03609  03623  092
010  000155  027  014  033  014  088  03611  03617  088
011  000176  027  014  027  014  082  03611  03611  082
012  000198  019  014  027  014  074  03603  03611  074
013  000219  009  014  025  014  062  03593  03609  062
014  000241  006  014  014  014  048  03590  03598  048
015  000262  009  014  005  014  042  03593  03589  042
016  000284  005  014  007  014  040  03589  03591  040
017  000307  015  014  008  014  051  03599  03592  051
018  000327  030  014  006  014  064  03614  03590  064
019  000348  034  014  019  014  081  03618  03603  081
020  000372  037  014  031  014  096  03621  03615  096
021  000391  039  014  034  014  101  03623  03618  101
022  000413  033  014  038  014  099  03617  03622  099
023  000434  018  014  038  014  084  03602  03622  084
024  000456  026  014  032  014  086  03610  03616  086  (sic)
025  000477  026  014  025  014  079  03610  03609  079  (sic — reads 03610 both)
026  000499  011  014  027  014  066  03595  03611  066
027  000520  007  014  025  014  060  03591  03609  060
028  000542  011  014  011  014  050  03595  03595  050
029  000564  005  014  003  014  036  03589  03587  036
030  000585  013  014  007  014  048  03597  03591  048
031  000607  026  014  006  014  060  03610  03590  060
032  000628  036  014  017  014  081  03620  03601  081
033  000649  036  014  030  014  094  03620  03614  094
034  000671  037  014  031  014  096  03621  03615  096
035  000692  040  014  038  014  106  03624  03622  106
036  000714  027  014  037  014  092  03611  03621  092
037  000736  022  014  034  014  084  03606  03618  084
038  000757  024  014  021  014  073  03608  03605  073
039  000778  015  014  022  014  065  03599  03606  065
040  000800  002  014  025  014  055  03586  03609  055
041  000822  007  014  014  014  049  03591  03598  049
042  000843  004  014  008  014  040  03588  03592  040
043  000864  006  014  009  014  043  03590  03593  043
044  000886  015  014  004  014  047  03599  03588  047
045  000907  031  014  009  014  068  03615  03593  068
046  000929  034  014  022  014  084  03618  03606  084 (sic)
047  000950  034  014  037  014  099  03618  03621  099  (sic)
048  000972  039  014  032  014  099  03623  03616  099
049  000993  029  014  037  014  094  03613  03621  094
050  001015  025  014  040  014  093  03609  03624  093
051  001036  030  014  025  014  083  03614  03609  083
052  001058  020  014  026  014  074  03604  03610  074
053  001079  012  014  025  014  065  03596  03609  065  (sic)
054  001101  007  014  020  014  055  03591  03604  055
055  001123  008  014  010  014  046  03592  03594  046
056  001144  005  014  008  014  041  03589  03592  041
057  001165  009  014  010  014  047  03593  03594  047
058  001187  028  014  007  014  063  03612  03591  063
059  001208  033  014  016  014  077  03617  03600  077
060  001230  039  014  028  014  095  03623  03612  095
